COLUMN_RETICLE,ROW_RETICLE,INTRA_COL,INTRA_ROW,ABS_COL,ABS_ROW,DIE_ID,DIE_ID_4UP,DIE_ID_16UP,NOM_X_MM_1UP,NOM_Y_MM_1UP,EG_MOX_1UP,EG_MOY_1UP,ACCR_JY_1UP,ACCR_JX_1UP
7,1,1,7,55,1,1-7-7-1,T-1-7-7-1,T-1-7-7-1,-14.105,-71.61,9,-69,-69,-9
7,1,2,7,56,1,2-7-7-1,T-2-7-7-1,T-2-7-7-1,-13.02,-71.61,8,-69,-69,-8
8,1,1,7,64,1,1-7-8-1,T-1-7-8-1,T-1-7-8-1,-4.34,-71.61,0,-69,-69,0
8,1,2,7,65,1,2-7-8-1,T-2-7-8-1,T-2-7-8-1,-3.255,-71.61,-1,-69,-69,1
9,1,1,7,73,1,1-7-9-1,T-1-7-9-1,T-1-7-9-1,5.425,-71.61,-9,-69,-69,9
9,1,2,7,74,1,2-7-9-1,T-2-7-9-1,T-2-7-9-1,6.51,-71.61,-10,-69,-69,10
5,2,1,7,37,8,1-7-5-2,T-1-7-5-2,T-1-7-5-2,-33.635,-64.015,27,-62,-62,-27
5,2,2,7,38,8,2-7-5-2,T-2-7-5-2,T-2-7-5-2,-32.55,-64.015,26,-62,-62,-26
6,2,1,7,46,8,1-7-6-2,T-1-7-6-2,T-1-7-6-2,-23.87,-64.015,18,-62,-62,-18
6,2,2,7,47,8,2-7-6-2,T-2-7-6-2,T-2-7-6-2,-22.785,-64.015,17,-62,-62,-17
7,2,1,7,55,8,1-7-7-2,T-1-7-7-2,T-1-7-7-2,-14.105,-64.015,9,-62,-62,-9
7,2,2,7,56,8,2-7-7-2,T-2-7-7-2,T-2-7-7-2,-13.02,-64.015,8,-62,-62,-8
8,2,1,7,64,8,1-7-8-2,T-1-7-8-2,T-1-7-8-2,-4.34,-64.015,0,-62,-62,0
8,2,2,7,65,8,2-7-8-2,T-2-7-8-2,T-2-7-8-2,-3.255,-64.015,-1,-62,-62,1
9,2,1,7,73,8,1-7-9-2,T-1-7-9-2,T-1-7-9-2,5.425,-64.015,-9,-62,-62,9
9,2,2,7,74,8,2-7-9-2,T-2-7-9-2,T-2-7-9-2,6.51,-64.015,-10,-62,-62,10
10,2,1,7,82,8,1-7-10-2,T-1-7-10-2,T-1-7-10-2,15.19,-64.015,-18,-62,-62,18
10,2,2,7,83,8,2-7-10-2,T-2-7-10-2,T-2-7-10-2,16.275,-64.015,-19,-62,-62,19
11,2,1,7,91,8,1-7-11-2,T-1-7-11-2,T-1-7-11-2,24.955,-64.015,-27,-62,-62,27
11,2,2,7,92,8,2-7-11-2,T-2-7-11-2,T-2-7-11-2,26.04,-64.015,-28,-62,-62,28
4,3,1,7,28,15,1-7-4-3,T-1-7-4-3,T-1-7-4-3,-43.4,-56.42,36,-55,-55,-36
4,3,2,7,29,15,2-7-4-3,T-2-7-4-3,T-2-7-4-3,-42.315,-56.42,35,-55,-55,-35
5,3,1,7,37,15,1-7-5-3,T-1-7-5-3,T-1-7-5-3,-33.635,-56.42,27,-55,-55,-27
5,3,2,7,38,15,2-7-5-3,T-2-7-5-3,T-2-7-5-3,-32.55,-56.42,26,-55,-55,-26
6,3,1,7,46,15,1-7-6-3,T-1-7-6-3,T-1-7-6-3,-23.87,-56.42,18,-55,-55,-18
6,3,2,7,47,15,2-7-6-3,T-2-7-6-3,T-2-7-6-3,-22.785,-56.42,17,-55,-55,-17
7,3,1,7,55,15,1-7-7-3,T-1-7-7-3,T-1-7-7-3,-14.105,-56.42,9,-55,-55,-9
7,3,2,7,56,15,2-7-7-3,T-2-7-7-3,T-2-7-7-3,-13.02,-56.42,8,-55,-55,-8
8,3,1,7,64,15,1-7-8-3,T-1-7-8-3,T-1-7-8-3,-4.34,-56.42,0,-55,-55,0
8,3,2,7,65,15,2-7-8-3,T-2-7-8-3,T-2-7-8-3,-3.255,-56.42,-1,-55,-55,1
9,3,1,7,73,15,1-7-9-3,T-1-7-9-3,T-1-7-9-3,5.425,-56.42,-9,-55,-55,9
9,3,2,7,74,15,2-7-9-3,T-2-7-9-3,T-2-7-9-3,6.51,-56.42,-10,-55,-55,10
10,3,1,7,82,15,1-7-10-3,T-1-7-10-3,T-1-7-10-3,15.19,-56.42,-18,-55,-55,18
10,3,2,7,83,15,2-7-10-3,T-2-7-10-3,T-2-7-10-3,16.275,-56.42,-19,-55,-55,19
11,3,1,7,91,15,1-7-11-3,T-1-7-11-3,T-1-7-11-3,24.955,-56.42,-27,-55,-55,27
11,3,2,7,92,15,2-7-11-3,T-2-7-11-3,T-2-7-11-3,26.04,-56.42,-28,-55,-55,28
12,3,1,7,100,15,1-7-12-3,T-1-7-12-3,T-1-7-12-3,34.72,-56.42,-36,-55,-55,36
12,3,2,7,101,15,2-7-12-3,T-2-7-12-3,T-2-7-12-3,35.805,-56.42,-37,-55,-55,37
3,4,1,7,19,22,1-7-3-4,T-1-7-3-4,T-1-7-3-4,-53.165,-48.825,45,-48,-48,-45
3,4,2,7,20,22,2-7-3-4,T-2-7-3-4,T-2-7-3-4,-52.08,-48.825,44,-48,-48,-44
4,4,1,7,28,22,1-7-4-4,T-1-7-4-4,T-1-7-4-4,-43.4,-48.825,36,-48,-48,-36
4,4,2,7,29,22,2-7-4-4,T-2-7-4-4,T-2-7-4-4,-42.315,-48.825,35,-48,-48,-35
5,4,1,7,37,22,1-7-5-4,T-1-7-5-4,T-1-7-5-4,-33.635,-48.825,27,-48,-48,-27
5,4,2,7,38,22,2-7-5-4,T-2-7-5-4,T-2-7-5-4,-32.55,-48.825,26,-48,-48,-26
