die,type,value,kind,system,ata_folder,map_source,probe_card,recipe,lot_id,wafer_id,total_dies,dies_tested,dies_passed,dies_failed,timestamp,step,mode,unit,die_id,switch,set_voltage,voltage,connection,instrument,row,col,status
,,,META,accretech,\\prober\M\ETL\proberautomation\CenfireATA,Accretech,COSETTE_CPW_W,CENFIRE-INLINE_probe08,Cenfire,whole,204,406,250,156,,,,,,,,,,,,,
1-7-7-1,current,0.00999989,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:34,force1,apply,A,1-7-7-1,1,,0.1168291,2A11_4B11,SMU,69,9,
1-7-7-1,voltage,0.613614,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:34,sense1,measure,ohm,1-7-7-1,1,,,2F12_2E01,DMM,69,9,
2-7-7-1,current,1.83686e-07,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:34,force2,apply,A,2-7-7-1,2,,7.000516,2A11_4B11,SMU,69,8,
2-7-7-1,voltage,716.043,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:34,sense2,measure,ohm,2-7-7-1,2,,,2F12_2E01,DMM,69,8,
1-7-8-1,current,0.00999989,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:43,force1,apply,A,1-7-8-1,1,,0.2041371,2A11_4B11,SMU,69,0,
1-7-8-1,voltage,-0.0568749,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:43,sense1,measure,ohm,1-7-8-1,1,,,2F12_2E01,DMM,69,0,
2-7-8-1,current,1.95562e-07,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:43,force2,apply,A,2-7-8-1,2,,7.000504,2A11_4B11,SMU,69,-1,
2-7-8-1,voltage,-79.3428,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:43,sense2,measure,ohm,2-7-8-1,2,,,2F12_2E01,DMM,69,-1,
1-7-9-1,current,0.00999988,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:51,force1,apply,A,1-7-9-1,1,,0.2823525,2A11_4B11,SMU,69,-9,
1-7-9-1,voltage,1.00773,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:51,sense1,measure,ohm,1-7-9-1,1,,,2F12_2E01,DMM,69,-9,
2-7-9-1,current,2.11212e-07,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:51,force2,apply,A,2-7-9-1,2,,7.0005,2A11_4B11,SMU,69,-10,
2-7-9-1,voltage,440.703,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:51,sense2,measure,ohm,2-7-9-1,2,,,2F12_2E01,DMM,69,-10,
1-7-5-2,current,0.00999988,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:59,force1,apply,A,1-7-5-2,1,,0.3492278,2A11_4B11,SMU,62,27,
1-7-5-2,voltage,0.0549517,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:59,sense1,measure,ohm,1-7-5-2,1,,,2F12_2E01,DMM,62,27,
2-7-5-2,current,1.45266e-05,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:59,force2,apply,A,2-7-5-2,2,,7.00051,2A11_4B11,SMU,62,26,
2-7-5-2,voltage,-23.6417,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:03:59,sense2,measure,ohm,2-7-5-2,2,,,2F12_2E01,DMM,62,26,
1-7-6-2,current,0.00999988,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:08,force1,apply,A,1-7-6-2,1,,0.2212851,2A11_4B11,SMU,62,18,
1-7-6-2,voltage,0.0551839,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:08,sense1,measure,ohm,1-7-6-2,1,,,2F12_2E01,DMM,62,18,
2-7-6-2,current,0.00290064,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:08,force2,apply,A,2-7-6-2,2,,7.0005,2A11_4B11,SMU,62,17,
2-7-6-2,voltage,1.36719,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:08,sense2,measure,ohm,2-7-6-2,2,,,2F12_2E01,DMM,62,17,
1-7-7-2,current,0.00999988,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:16,force1,apply,A,1-7-7-2,1,,0.08750761,2A11_4B11,SMU,62,9,
1-7-7-2,voltage,0.0353895,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:16,sense1,measure,ohm,1-7-7-2,1,,,2F12_2E01,DMM,62,9,
2-7-7-2,current,1.02e-05,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:16,force2,apply,A,2-7-7-2,2,,7.000492,2A11_4B11,SMU,62,8,
2-7-7-2,voltage,-93.4823,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:16,sense2,measure,ohm,2-7-7-2,2,,,2F12_2E01,DMM,62,8,
1-7-8-2,current,0.00999988,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:24,force1,apply,A,1-7-8-2,1,,0.08273358,2A11_4B11,SMU,62,0,
1-7-8-2,voltage,0.0451709,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:24,sense1,measure,ohm,1-7-8-2,1,,,2F12_2E01,DMM,62,0,
2-7-8-2,current,0.00999994,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:24,force2,apply,A,2-7-8-2,2,,3.964947,2A11_4B11,SMU,62,-1,
2-7-8-2,voltage,151.818,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:24,sense2,measure,ohm,2-7-8-2,2,,,2F12_2E01,DMM,62,-1,
1-7-9-2,current,0.00999987,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:32,force1,apply,A,1-7-9-2,1,,0.09005678,2A11_4B11,SMU,62,-9,
1-7-9-2,voltage,0.609784,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:32,sense1,measure,ohm,1-7-9-2,1,,,2F12_2E01,DMM,62,-9,
2-7-9-2,current,1.45922e-05,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:32,force2,apply,A,2-7-9-2,2,,7.000506,2A11_4B11,SMU,62,-10,
2-7-9-2,voltage,570.642,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:32,sense2,measure,ohm,2-7-9-2,2,,,2F12_2E01,DMM,62,-10,
1-7-10-2,current,0.00999988,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:40,force1,apply,A,1-7-10-2,1,,0.06114033,2A11_4B11,SMU,62,-18,
1-7-10-2,voltage,0.618426,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:40,sense1,measure,ohm,1-7-10-2,1,,,2F12_2E01,DMM,62,-18,
2-7-10-2,current,0.00999994,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:40,force2,apply,A,2-7-10-2,2,,3.401581,2A11_4B11,SMU,62,-19,
2-7-10-2,voltage,154.209,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:40,sense2,measure,ohm,2-7-10-2,2,,,2F12_2E01,DMM,62,-19,
1-7-11-2,current,0.00999988,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:49,force1,apply,A,1-7-11-2,1,,0.2246382,2A11_4B11,SMU,62,-27,
1-7-11-2,voltage,0.619695,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:49,sense1,measure,ohm,1-7-11-2,1,,,2F12_2E01,DMM,62,-27,
2-7-11-2,current,1.96022e-07,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:49,force2,apply,A,2-7-11-2,2,,7.0005,2A11_4B11,SMU,62,-28,
2-7-11-2,voltage,486.528,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:49,sense2,measure,ohm,2-7-11-2,2,,,2F12_2E01,DMM,62,-28,
1-7-4-3,current,0.00999989,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:57,force1,apply,A,1-7-4-3,1,,0.08426286,2A11_4B11,SMU,55,36,
1-7-4-3,voltage,0.519705,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:57,sense1,measure,ohm,1-7-4-3,1,,,2F12_2E01,DMM,55,36,
2-7-4-3,current,1.25847e-05,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:57,force2,apply,A,2-7-4-3,2,,7.00052,2A11_4B11,SMU,55,35,
2-7-4-3,voltage,345.376,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:04:57,sense2,measure,ohm,2-7-4-3,2,,,2F12_2E01,DMM,55,35,
1-7-5-3,current,0.00999989,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:05:05,force1,apply,A,1-7-5-3,1,,0.06737987,2A11_4B11,SMU,55,27,
1-7-5-3,voltage,0.598025,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:05:05,sense1,measure,ohm,1-7-5-3,1,,,2F12_2E01,DMM,55,27,
2-7-5-3,current,1.41647e-05,RESULT,,,,COSETTE_CPW_W,CENFIRE-INLINE_probe08,,,,,,,2026-08-31 12:05:05,force2,apply,A,2-7-5-3,2,,7.000521,2A11_4B11,SMU,55,26,
