PROCESS_NAME,PRODUCT_NAME,PRODUCT_FAMILY,DATE_TIME,PROGRAM,WAFER_ID,TEST_MODE,PROCESS_STEP,OPERATOR,SUBROUTINE,PROBER_ID,TESTER_ID,PROBE_CARD_ID,Z_OVERDRIVE_MILS,COLUMN_RETICLE,ROW_RETICLE,INTRA_COL,INTRA_ROW,ABS_COL,ABS_ROW,DIE_ID,RESISTANCE,ERROR
Reliability,CF1101,CF1100,2026-09-01 15:28:27.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,1,1,7,55,1,1-7-7-1,0.704924,
Reliability,CF1101,CF1100,2026-09-01 15:28:27.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,1,2,7,56,1,2-7-7-1,137.808,
Reliability,CF1101,CF1100,2026-09-01 15:28:32.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,1,1,7,64,1,1-7-8-1,0.700509,
Reliability,CF1101,CF1100,2026-09-01 15:28:32.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,1,2,7,65,1,2-7-8-1,537.178,
Reliability,CF1101,CF1100,2026-09-01 15:28:37.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,1,1,7,73,1,1-7-9-1,1.37782,
Reliability,CF1101,CF1100,2026-09-01 15:28:37.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,1,2,7,74,1,2-7-9-1,886.904,
Reliability,CF1101,CF1100,2026-09-01 15:28:42.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,5,2,1,7,37,8,1-7-5-2,0.690409,
Reliability,CF1101,CF1100,2026-09-01 15:28:42.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,5,2,2,7,38,8,2-7-5-2,587.73,
Reliability,CF1101,CF1100,2026-09-01 15:28:46.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,6,2,1,7,46,8,1-7-6-2,0.68733,
Reliability,CF1101,CF1100,2026-09-01 15:28:46.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,6,2,2,7,47,8,2-7-6-2,249.836,
Reliability,CF1101,CF1100,2026-09-01 15:28:51.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,2,1,7,55,8,1-7-7-2,0.686606,
Reliability,CF1101,CF1100,2026-09-01 15:28:51.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,2,2,7,56,8,2-7-7-2,166.028,
Reliability,CF1101,CF1100,2026-09-01 15:28:56.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,2,1,7,64,8,1-7-8-2,0.687792,
Reliability,CF1101,CF1100,2026-09-01 15:28:56.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,2,2,7,65,8,2-7-8-2,0.298444,
