PROCESS_NAME,PRODUCT_NAME,PRODUCT_FAMILY,DATE_TIME,PROGRAM,WAFER_ID,TEST_MODE,PROCESS_STEP,OPERATOR,SUBROUTINE,PROBER_ID,TESTER_ID,PROBE_CARD_ID,Z_OVERDRIVE_MILS,COLUMN_RETICLE,ROW_RETICLE,INTRA_COL,INTRA_ROW,ABS_COL,ABS_ROW,DIE_ID,RESISTANCE,ERROR
Reliability,CF1101,CF1100,2026-08-03 14:17:48.531Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,1,1,7,55,1,1-7-7-1,0.448010,
Reliability,CF1101,CF1100,2026-08-03 14:17:51.233Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,1,2,7,56,1,2-7-7-1,218.077874,
Reliability,CF1101,CF1100,2026-08-03 14:17:54.012Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,1,1,7,64,1,1-7-8-1,0.440516,
Reliability,CF1101,CF1100,2026-08-03 14:17:56.642Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,1,2,7,65,1,2-7-8-1,35.738024,
Reliability,CF1101,CF1100,2026-08-03 14:17:59.418Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,1,1,7,73,1,1-7-9-1,0.531104,
Reliability,CF1101,CF1100,2026-08-03 14:18:02.048Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,1,2,7,74,1,2-7-9-1,157.422104,
Reliability,CF1101,CF1100,2026-08-03 14:18:04.848Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,5,2,1,7,37,8,1-7-5-2,0.440316,
Reliability,CF1101,CF1100,2026-08-03 14:18:07.711Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,5,2,2,7,38,8,2-7-5-2,134.700191,
Reliability,CF1101,CF1100,2026-08-03 14:18:10.400Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,6,2,1,7,46,8,1-7-6-2,0.440621,
Reliability,CF1101,CF1100,2026-08-03 14:18:12.813Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,6,2,2,7,47,8,2-7-6-2,145.665476,
Reliability,CF1101,CF1100,2026-08-03 14:18:15.552Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,2,1,7,55,8,1-7-7-2,0.440921,
Reliability,CF1101,CF1100,2026-08-03 14:18:18.074Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,2,2,7,56,8,2-7-7-2,144.684600,
Reliability,CF1101,CF1100,2026-08-03 14:18:20.763Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,2,1,7,64,8,1-7-8-2,0.439912,
Reliability,CF1101,CF1100,2026-08-03 14:18:23.510Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,2,2,7,65,8,2-7-8-2,135.347877,
Reliability,CF1101,CF1100,2026-08-03 14:18:26.274Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,2,1,7,73,8,1-7-9-2,0.442216,
Reliability,CF1101,CF1100,2026-08-03 14:18:28.799Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,2,2,7,74,8,2-7-9-2,72.362827,
Reliability,CF1101,CF1100,2026-08-03 14:18:31.560Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,10,2,1,7,82,8,1-7-10-2,0.445211,
Reliability,CF1101,CF1100,2026-08-03 14:18:34.192Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,10,2,2,7,83,8,2-7-10-2,135.086534,
Reliability,CF1101,CF1100,2026-08-03 14:18:36.960Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,11,2,1,7,91,8,1-7-11-2,0.456904,
Reliability,CF1101,CF1100,2026-08-03 14:18:39.926Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,11,2,2,7,92,8,2-7-11-2,110.876499,
Reliability,CF1101,CF1100,2026-08-03 14:18:42.783Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,4,3,1,7,28,15,1-7-4-3,0.442911,
Reliability,CF1101,CF1100,2026-08-03 14:18:45.415Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,4,3,2,7,29,15,2-7-4-3,136.793009,
Reliability,CF1101,CF1100,2026-08-03 14:18:48.166Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,5,3,1,7,37,15,1-7-5-3,0.438812,
Reliability,CF1101,CF1100,2026-08-03 14:18:50.785Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,5,3,2,7,38,15,2-7-5-3,128.322406,
Reliability,CF1101,CF1100,2026-08-03 14:18:53.493Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,6,3,1,7,46,15,1-7-6-3,0.435709,
Reliability,CF1101,CF1100,2026-08-03 14:18:56.355Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,6,3,2,7,47,15,2-7-6-3,134.157405,
Reliability,CF1101,CF1100,2026-08-03 14:18:59.151Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,3,1,7,55,15,1-7-7-3,0.434917,
Reliability,CF1101,CF1100,2026-08-03 14:19:01.678Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,3,2,7,56,15,2-7-7-3,132.678664,
Reliability,CF1101,CF1100,2026-08-03 14:19:04.441Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,3,1,7,64,15,1-7-8-3,0.435113,
Reliability,CF1101,CF1100,2026-08-03 14:19:06.953Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,3,2,7,65,15,2-7-8-3,131.577100,
Reliability,CF1101,CF1100,2026-08-03 14:19:09.705Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,3,1,7,73,15,1-7-9-3,0.435913,
Reliability,CF1101,CF1100,2026-08-03 14:19:12.659Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,3,2,7,74,15,2-7-9-3,130.888522,
Reliability,CF1101,CF1100,2026-08-03 14:19:15.415Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,10,3,1,7,82,15,1-7-10-3,0.440612,
Reliability,CF1101,CF1100,2026-08-03 14:19:18.033Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,10,3,2,7,83,15,2-7-10-3,124.557031,
Reliability,CF1101,CF1100,2026-08-03 14:19:20.818Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,11,3,1,7,91,15,1-7-11-3,0.445411,
Reliability,CF1101,CF1100,2026-08-03 14:19:23.438Z,Cenfire,CENV-V-056-w0079,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,11,3,2,7,92,15,2-7-11-3,134.720403,
