die,type,value,kind,system,ata_folder,map_source,probe_card,recipe,lot_id,wafer_id,total_dies,dies_tested,dies_passed,dies_failed,timestamp,step,mode,unit,die_id,switch,set_voltage,voltage,connection,instrument,row,col,status
,,,META,accretech,\\prober\M\ETL\proberautomation\MADDYATA,Accretech,MADDY_TL_REV_D,Maddy TL,MADC-V-069,02D4,314,314,310,4,,,,,,,,,,,,,
R1C7  (X7 Y1),current,0.00999981,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:22,Force Current,apply,A,01G,,,0.1761121,4A11_2B02,SMU,1,7,
R1C7  (X7 Y1),resistance,17.6115,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:22,Kelvin Resistance,measure,ohm,01G,,,,4A11_2B02,SMU,1,7,
R1C7  (X7 Y1),voltage,-2.80892e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:22,Kelvin Voltage (DMM),measure,V,01G,,,,2F01_4E12,DMM,1,7,
R1C8  (X8 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:27,Force Current,apply,A,01H,,,0.1748026,4A11_2B02,SMU,1,8,
R1C8  (X8 Y1),resistance,17.4805,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:27,Kelvin Resistance,measure,ohm,01H,,,,4A11_2B02,SMU,1,8,
R1C8  (X8 Y1),voltage,-2.90301e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:27,Kelvin Voltage (DMM),measure,V,01H,,,,2F01_4E12,DMM,1,8,
R1C9  (X9 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:32,Force Current,apply,A,01I,,,0.1769518,4A11_2B02,SMU,1,9,
R1C9  (X9 Y1),resistance,17.6953,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:32,Kelvin Resistance,measure,ohm,01I,,,,4A11_2B02,SMU,1,9,
R1C9  (X9 Y1),voltage,-3.0732e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:32,Kelvin Voltage (DMM),measure,V,01I,,,,2F01_4E12,DMM,1,9,
R1C10  (X10 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:37,Force Current,apply,A,01J,,,0.1752588,4A11_2B02,SMU,1,10,
R1C10  (X10 Y1),resistance,17.5264,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:37,Kelvin Resistance,measure,ohm,01J,,,,4A11_2B02,SMU,1,10,
R1C10  (X10 Y1),voltage,-3.05364e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:37,Kelvin Voltage (DMM),measure,V,01J,,,,2F01_4E12,DMM,1,10,
R1C11  (X11 Y1),current,0.00999981,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:41,Force Current,apply,A,01K,,,0.1757446,4A11_2B02,SMU,1,11,
R1C11  (X11 Y1),resistance,17.5746,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 16:36:41,Kelvin Resistance,measure,ohm,01K,,,,4A11_2B02,SMU,1,11,
