die,type,value,kind,system,ata_folder,map_source,probe_card,recipe,lot_id,wafer_id,total_dies,dies_tested,dies_passed,dies_failed,timestamp,step,mode,unit,die_id,switch,set_voltage,voltage,connection,instrument,row,col,status
,,,META,accretech,\\prober\M\ETL\proberautomation\MADDYATA,Accretech,MADDY_TL_REV_D,Maddy TL,MADC-V-069,03F7,314,314,314,0,,,,,,,,,,,,,
R1C7  (X7 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:03:59,Force Current,apply,A,01G,,,0.1777201,4A11_2B02,SMU,1,7,
R1C7  (X7 Y1),resistance,17.7723,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:03:59,Kelvin Resistance,measure,ohm,01G,,,,4A11_2B02,SMU,1,7,
R1C7  (X7 Y1),voltage,-2.41583e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:03:59,Kelvin Voltage (DMM),measure,V,01G,,,,2F01_4E12,DMM,1,7,
R1C8  (X8 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:01,Force Current,apply,A,01H,,,0.1792413,4A11_2B02,SMU,1,8,
R1C8  (X8 Y1),resistance,17.9243,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:01,Kelvin Resistance,measure,ohm,01H,,,,4A11_2B02,SMU,1,8,
R1C8  (X8 Y1),voltage,-2.45118e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:01,Kelvin Voltage (DMM),measure,V,01H,,,,2F01_4E12,DMM,1,8,
R1C9  (X9 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:03,Force Current,apply,A,01I,,,0.1818145,4A11_2B02,SMU,1,9,
R1C9  (X9 Y1),resistance,18.1818,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:03,Kelvin Resistance,measure,ohm,01I,,,,4A11_2B02,SMU,1,9,
R1C9  (X9 Y1),voltage,-2.49001e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:03,Kelvin Voltage (DMM),measure,V,01I,,,,2F01_4E12,DMM,1,9,
R1C10  (X10 Y1),current,0.00999983,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:06,Force Current,apply,A,01J,,,0.1787453,4A11_2B02,SMU,1,10,
R1C10  (X10 Y1),resistance,17.8742,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:06,Kelvin Resistance,measure,ohm,01J,,,,4A11_2B02,SMU,1,10,
R1C10  (X10 Y1),voltage,-2.46961e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:06,Kelvin Voltage (DMM),measure,V,01J,,,,2F01_4E12,DMM,1,10,
R1C11  (X11 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:08,Force Current,apply,A,01K,,,0.1821225,4A11_2B02,SMU,1,11,
R1C11  (X11 Y1),resistance,18.212,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:08,Kelvin Resistance,measure,ohm,01K,,,,4A11_2B02,SMU,1,11,
R1C11  (X11 Y1),voltage,-2.57074e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:08,Kelvin Voltage (DMM),measure,V,01K,,,,2F01_4E12,DMM,1,11,
R1C12  (X12 Y1),current,0.00999983,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:10,Force Current,apply,A,01L,,,0.1764465,4A11_2B02,SMU,1,12,
R1C12  (X12 Y1),resistance,17.6449,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:10,Kelvin Resistance,measure,ohm,01L,,,,4A11_2B02,SMU,1,12,
R1C12  (X12 Y1),voltage,-2.43222e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:10,Kelvin Voltage (DMM),measure,V,01L,,,,2F01_4E12,DMM,1,12,
R2C6  (X6 Y2),current,0.00999984,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:12,Force Current,apply,A,02F,,,0.1849059,4A11_2B02,SMU,2,6,
R2C6  (X6 Y2),resistance,18.4939,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:12,Kelvin Resistance,measure,ohm,02F,,,,4A11_2B02,SMU,2,6,
R2C6  (X6 Y2),voltage,-2.57039e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:12,Kelvin Voltage (DMM),measure,V,02F,,,,2F01_4E12,DMM,2,6,
R2C7  (X7 Y2),current,0.00999983,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:14,Force Current,apply,A,02G,,,0.1917071,4A11_2B02,SMU,2,7,
R2C7  (X7 Y2),resistance,19.1701,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:14,Kelvin Resistance,measure,ohm,02G,,,,4A11_2B02,SMU,2,7,
R2C7  (X7 Y2),voltage,-2.75333e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:14,Kelvin Voltage (DMM),measure,V,02G,,,,2F01_4E12,DMM,2,7,
R2C8  (X8 Y2),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:16,Force Current,apply,A,02H,,,0.1883049,4A11_2B02,SMU,2,8,
R2C8  (X8 Y2),resistance,18.8307,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:16,Kelvin Resistance,measure,ohm,02H,,,,4A11_2B02,SMU,2,8,
R2C8  (X8 Y2),voltage,-2.7321e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:16,Kelvin Voltage (DMM),measure,V,02H,,,,2F01_4E12,DMM,2,8,
R2C9  (X9 Y2),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:18,Force Current,apply,A,02I,,,0.1969207,4A11_2B02,SMU,2,9,
R2C9  (X9 Y2),resistance,19.6918,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:18,Kelvin Resistance,measure,ohm,02I,,,,4A11_2B02,SMU,2,9,
R2C9  (X9 Y2),voltage,-2.956e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:18,Kelvin Voltage (DMM),measure,V,02I,,,,2F01_4E12,DMM,2,9,
R2C10  (X10 Y2),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:20,Force Current,apply,A,02J,,,0.1965183,4A11_2B02,SMU,2,10,
R2C10  (X10 Y2),resistance,19.6525,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:20,Kelvin Resistance,measure,ohm,02J,,,,4A11_2B02,SMU,2,10,
R2C10  (X10 Y2),voltage,-2.94493e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:20,Kelvin Voltage (DMM),measure,V,02J,,,,2F01_4E12,DMM,2,10,
R2C11  (X11 Y2),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:04:22,Force Current,apply,A,02K,,,0.1955347,4A11_2B02,SMU,2,11,
