die,type,value,kind,system,ata_folder,map_source,probe_card,recipe,lot_id,wafer_id,total_dies,dies_tested,dies_passed,dies_failed,timestamp,step,mode,unit,die_id,switch,set_voltage,voltage,connection,instrument,row,col,status
,,,META,accretech,\\prober\M\ETL\proberautomation\MADDYATA,Accretech,MADDY_TL_REV_D,Maddy TL,MADC-V-069,04A7,314,314,306,8,,,,,,,,,,,,,
R1C7  (X7 Y1),current,0.00999983,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:01,Force Current,apply,A,01G,,,0.2108864,4A11_2B02,SMU,1,7,
R1C7  (X7 Y1),resistance,21.0887,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:01,Kelvin Resistance,measure,ohm,01G,,,,4A11_2B02,SMU,1,7,
R1C7  (X7 Y1),voltage,-5.31569e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:01,Kelvin Voltage (DMM),measure,V,01G,,,,2F01_4E12,DMM,1,7,
R1C8  (X8 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:04,Force Current,apply,A,01H,,,0.1909333,4A11_2B02,SMU,1,8,
R1C8  (X8 Y1),resistance,19.0934,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:04,Kelvin Resistance,measure,ohm,01H,,,,4A11_2B02,SMU,1,8,
R1C8  (X8 Y1),voltage,-2.50238e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:04,Kelvin Voltage (DMM),measure,V,01H,,,,2F01_4E12,DMM,1,8,
R1C9  (X9 Y1),current,0.00999983,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:06,Force Current,apply,A,01I,,,0.2016702,4A11_2B02,SMU,1,9,
R1C9  (X9 Y1),resistance,20.1671,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:06,Kelvin Resistance,measure,ohm,01I,,,,4A11_2B02,SMU,1,9,
R1C9  (X9 Y1),voltage,-5.06462e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:06,Kelvin Voltage (DMM),measure,V,01I,,,,2F01_4E12,DMM,1,9,
R1C10  (X10 Y1),current,0.00999984,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:08,Force Current,apply,A,01J,,,0.2003327,4A11_2B02,SMU,1,10,
R1C10  (X10 Y1),resistance,20.0329,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:08,Kelvin Resistance,measure,ohm,01J,,,,4A11_2B02,SMU,1,10,
R1C10  (X10 Y1),voltage,-5.03426e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:08,Kelvin Voltage (DMM),measure,V,01J,,,,2F01_4E12,DMM,1,10,
R1C11  (X11 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:10,Force Current,apply,A,01K,,,0.2002222,4A11_2B02,SMU,1,11,
R1C11  (X11 Y1),resistance,20.0222,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:10,Kelvin Resistance,measure,ohm,01K,,,,4A11_2B02,SMU,1,11,
R1C11  (X11 Y1),voltage,-5.06221e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:10,Kelvin Voltage (DMM),measure,V,01K,,,,2F01_4E12,DMM,1,11,
R1C12  (X12 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:13,Force Current,apply,A,01L,,,0.1985172,4A11_2B02,SMU,1,12,
R1C12  (X12 Y1),resistance,19.8513,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:13,Kelvin Resistance,measure,ohm,01L,,,,4A11_2B02,SMU,1,12,
R1C12  (X12 Y1),voltage,-2.80549e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:13,Kelvin Voltage (DMM),measure,V,01L,,,,2F01_4E12,DMM,1,12,
R2C6  (X6 Y2),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:19:15,Force Current,apply,A,02F,,,0.2200945,4A11_2B02,SMU,2,6,
