PROCESS_NAME,PRODUCT_NAME,PRODUCT_FAMILY,DATE_TIME,PROGRAM,WAFER_ID,TEST_MODE,PROCESS_STEP,OPERATOR,SUBROUTINE,PROBER_ID,TESTER_ID,PROBE_CARD_ID,Z_OVERDRIVE_MILS,COLUMN_RETICLE,ROW_RETICLE,INTRA_COL,INTRA_ROW,ABS_COL,ABS_ROW,DIE_ID,RESISTANCE,ERROR
Reliability,CF1101,CF1100,2026-08-31 17:12:16.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,1,1,7,55,1,1-7-7-1,0.0003665,
Reliability,CF1101,CF1100,2026-08-31 17:12:16.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,1,2,7,56,1,2-7-7-1,1024.61,
Reliability,CF1101,CF1100,2026-08-31 17:12:21.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,1,1,7,64,1,1-7-8-1,0.0163114,
Reliability,CF1101,CF1100,2026-08-31 17:12:21.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,1,2,7,65,1,2-7-8-1,245.159,
Reliability,CF1101,CF1100,2026-08-31 17:12:26.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,1,1,7,73,1,1-7-9-1,0.000198727,
Reliability,CF1101,CF1100,2026-08-31 17:12:26.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,1,2,7,74,1,2-7-9-1,312.129,
Reliability,CF1101,CF1100,2026-08-31 17:12:31.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,5,2,1,7,37,8,1-7-5-2,0.000299016,
Reliability,CF1101,CF1100,2026-08-31 17:12:31.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,5,2,2,7,38,8,2-7-5-2,1.13363,
Reliability,CF1101,CF1100,2026-08-31 17:12:36.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,6,2,1,7,46,8,1-7-6-2,0.000237155,
Reliability,CF1101,CF1100,2026-08-31 17:12:36.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,6,2,2,7,47,8,2-7-6-2,0.0445288,
Reliability,CF1101,CF1100,2026-08-31 17:12:40.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,2,1,7,55,8,1-7-7-2,0.000185755,
Reliability,CF1101,CF1100,2026-08-31 17:12:40.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,2,2,7,56,8,2-7-7-2,0.0885708,
Reliability,CF1101,CF1100,2026-08-31 17:12:45.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,2,1,7,64,8,1-7-8-2,0.000346747,
Reliability,CF1101,CF1100,2026-08-31 17:12:45.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,8,2,2,7,65,8,2-7-8-2,0.0472314,
Reliability,CF1101,CF1100,2026-08-31 17:12:50.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,2,1,7,73,8,1-7-9-2,0.000248233,
Reliability,CF1101,CF1100,2026-08-31 17:12:50.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,9,2,2,7,74,8,2-7-9-2,1.93051,
Reliability,CF1101,CF1100,2026-08-31 17:12:55.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,10,2,1,7,82,8,1-7-10-2,8.29458e-05,
Reliability,CF1101,CF1100,2026-08-31 17:12:55.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,10,2,2,7,83,8,2-7-10-2,0.0546159,
Reliability,CF1101,CF1100,2026-08-31 17:13:00.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,11,2,1,7,91,8,1-7-11-2,0.00540518,
Reliability,CF1101,CF1100,2026-08-31 17:13:00.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,11,2,2,7,92,8,2-7-11-2,136.16,
Reliability,CF1101,CF1100,2026-08-31 17:13:05.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,4,3,1,7,28,15,1-7-4-3,0.000446652,
Reliability,CF1101,CF1100,2026-08-31 17:13:05.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,4,3,2,7,29,15,2-7-4-3,9.84878,
Reliability,CF1101,CF1100,2026-08-31 17:13:10.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,5,3,1,7,37,15,1-7-5-3,0.00033989,
Reliability,CF1101,CF1100,2026-08-31 17:13:10.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,5,3,2,7,38,15,2-7-5-3,0.0594082,
Reliability,CF1101,CF1100,2026-08-31 17:13:15.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,6,3,1,7,46,15,1-7-6-3,0.000123683,
Reliability,CF1101,CF1100,2026-08-31 17:13:15.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,6,3,2,7,47,15,2-7-6-3,0.0422342,
Reliability,CF1101,CF1100,2026-08-31 17:13:19.000Z,Cenfire,temp-wCenfireATA,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,7,3,1,7,55,15,1-7-7-3,0.00650925,
